AreaName,Labor-Force,Employment,Unemployment-Number,Unemployment-Rate,CensusRatios-Emp,CensusRatios-Unemp
Diamond Bar city,"30,600","29,500","1,100",3.70%,N/A,N/A
Downey city,"57,900","55,300","2,600",4.50%,N/A,N/A
Duarte city,"11,300","10,700",600,5.30%,0.002185,0.002495
East Los Angeles CDP,"58,000","53,500","4,500",7.70%,0.010929,0.018579
East Pasadena CDP,"3,200","3,100",100,2.40%,0.000641,0.000317
East San Gabriel CDP,"7,700","7,600",100,1.40%,0.001559,0.000465
El Monte city,"52,100","49,600","2,400",4.60%,N/A,N/A
El Segundo city,"9,700","9,400",400,3.80%,0.00191,0.001538
Florence Graham CDP,"27,600","25,900","1,700",6.20%,0.005282,0.007182
Gardena city,"30,600","29,100","1,400",4.70%,N/A,N/A
Glendale city,"104,600","100,000","4,600",4.40%,N/A,N/A
Glendora city,"26,400","25,300","1,100",4.30%,N/A,N/A
Hacienda Heights CDP,"26,400","25,400",900,3.50%,0.005193,0.003846
Hawaiian Gardens city,"6,100","5,700",400,6.20%,0.001164,0.00158
Hawthorne city,"45,300","43,100","2,200",4.80%,N/A,N/A
Hermosa Beach city,"12,700","12,400",300,2.20%,0.002541,0.001156
Hidden Hills city,600,600,0,3.80%,0.000123,0.000101
Huntington Park city,"26,800","25,600","1,200",4.60%,N/A,N/A
Industry city,200,100,0,7.60%,0.00003,0.000049
Inglewood city,"53,300","50,400","3,000",5.60%,N/A,N/A
Irwindale city,600,600,0,7.10%,0.000121,0.000189
La Canada Flintridge city,"9,700","9,500",200,2.00%,0.00195,0.000816
La Crescenta Montrose CDP,"10,400","10,100",300,2.90%,0.002056,0.001243
La Habra Heights city,"2,500","2,500",100,2.20%,0.000502,0.000231
La Mirada city,"24,500","23,400","1,100",4.40%,N/A,N/A
La Puente city,"19,300","18,300",900,4.80%,N/A,N/A
La Verne city,"16,200","15,500",700,4.40%,N/A,N/A
Ladera Heights CDP,"3,600","3,400",200,5.60%,0.000695,0.000834
Lake Los Angeles CDP,"4,000","3,700",300,8.60%,0.000747,0.001434
Lakewood city,"43,400","41,500","1,900",4.40%,N/A,N/A
Lancaster city,"65,600","61,200","4,300",6.60%,N/A,N/A
Lawndale city,"16,800","16,100",700,4.30%,N/A,N/A
Lennox CDP,"10,700","10,000",600,5.80%,0.002052,0.002586
Littlerock CDP,500,500,0,6.80%,0.000098,0.000145
Lomita city,"11,600","11,100",500,4.00%,0.00227,0.001934
Long Beach city,"240,200","228,700","11,500",4.80%,N/A,N/A
Los Angeles city,"2,080,200","1,982,600","97,600",4.70%,N/A,N/A
Lynwood city,"28,800","27,200","1,600",5.50%,N/A,N/A
Malibu city,"6,600","6,400",200,2.80%,0.001312,0.000785
Manhattan Beach city,"20,000","19,300",700,3.40%,N/A,N/A
Marina del Rey CDP,"7,100","6,900",200,3.10%,0.001411,0.000908
Mayflower Village CDP,"3,100","3,000",100,3.40%,0.000614,0.00044
Maywood city,"12,500","12,000",600,4.40%,N/A,N/A
Monrovia city,"21,100","20,300",800,4.00%,N/A,N/A
Montebello city,"29,200","27,800","1,500",5.00%,N/A,N/A
Monterey Park city,"29,800","28,500","1,300",4.20%,N/A,N/A
North El Monte CDP,"1,800","1,800",0,2.10%,0.00037,0.000157
Norwalk city,"50,900","48,500","2,300",4.60%,N/A,N/A
Palmdale city,"64,900","60,700","4,100",6.40%,N/A,N/A
Palos Verdes Estates city,"5,800","5,600",100,2.00%,0.001152,0.00047
Paramount city,"24,900","23,700","1,300",5.10%,N/A,N/A
Pasadena city,"79,800","76,600","3,200",4.00%,N/A,N/A
Pico Rivera city,"30,700","29,200","1,600",5.20%,N/A,N/A
Pomona city,"68,400","64,900","3,500",5.10%,N/A,N/A
Quartz Hill CDP,"4,200","4,000",200,4.70%,0.000826,0.000837
Rancho Palos Verdes city,"19,900","19,100",800,3.80%,N/A,N/A
Redondo Beach city,"41,700","40,100","1,600",3.80%,N/A,N/A
Rolling Hills city,600,600,0,4.10%,0.000119,0.000103
Rolling Hills Estates city,"3,500","3,400",100,2.50%,0.000699,0.000359
Rosemead city,"25,400","24,300","1,100",4.30%,N/A,N/A
Rowland Heights CDP,"24,900","24,100",800,3.10%,0.004932,0.003196
San Dimas city,"18,100","17,400",800,4.20%,N/A,N/A
San Fernando city,"11,800","11,300",600,4.90%,0.002299,0.002394
San Gabriel city,"21,600","20,800",800,3.70%,N/A,N/A
San Marino city,"5,700","5,600",100,2.20%,0.001134,0.000517
Santa Clarita city,"113,600","108,600","4,900",4.30%,N/A,N/A
Santa Fe Springs city,"8,400","8,100",300,3.00%,0.001663,0.001041
Santa Monica city,"57,000","54,500","2,500",4.40%,N/A,N/A
Sierra Madre city,"5,900","5,600",200,3.70%,0.001154,0.000915
Signal Hill city,"6,300","6,100",200,3.80%,0.001245,0.001014
South El Monte city,"9,300","8,900",400,4.10%,0.001826,0.001604
South Gate city,"43,100","41,000","2,100",4.90%,N/A,N/A
South Pasadena city,"15,100","14,500",600,3.90%,N/A,N/A
South San Gabriel CDP,"4,100","4,000",100,3.50%,0.000816,0.000598
South San Jose Hills CDP,"9,200","8,700",600,6.00%,0.001768,0.002318
South Whittier CDP,"27,400","26,400","1,000",3.80%,0.005381,0.004328
Temple City city,"18,400","17,700",700,3.80%,N/A,N/A
Torrance city,"79,100","76,100","3,000",3.80%,N/A,N/A
Val Verde CDP,"1,600","1,500",100,8.10%,0.000299,0.000539
Valinda CDP,"12,700","12,000",700,5.90%,0.002444,0.003103
Vernon city,0,0,0,7.00%,0.000008,0.000012
View Park Windsor Hills CDP,"5,600","5,100",500,8.40%,0.001043,0.001944
Walnut city,"16,100","15,600",600,3.60%,N/A,N/A
Walnut Park CDP,"7,700","7,300",400,5.10%,0.001492,0.001634
West Athens CDP,"4,600","4,300",300,7.40%,0.000872,0.001432
West Carson CDP,"11,400","10,900",500,4.20%,0.002224,0.001973
West Covina city,"53,500","51,000","2,500",4.60%,N/A,N/A
West Hollywood city,"27,500","26,000","1,400",5.30%,N/A,N/A
West Puente Valley CDP,"11,400","10,700",700,6.10%,0.00218,0.002906
West Whittier Los Nietos CDP,"12,800","12,400",400,3.20%,0.00254,0.001722
Westlake Village city,"4,000","3,900",100,2.50%,0.000802,0.000413
Westmont CDP,"13,400","12,200","1,100",8.40%,0.002498,0.004675
Whittier city,"44,200","42,200","2,000",4.50%,N/A,N/A
Willowbrook CDP,"9,700","9,000",700,7.00%,0.001834,0.002837
Bonadelle Ranchos Madera Ranchos CDP,"4,200","4,000",200,4.90%,0.070511,0.048761
Chowchilla city,"4,400","4,200",200,5.50%,0.073115,0.056095
Madera Acres CDP,"5,000","4,800",200,4.70%,0.083191,0.053915
Madera city,"27,600","25,500","2,100",7.70%,N/A,N/A
Oakhurst CDP,"1,800","1,600",100,6.90%,0.028818,0.028543
Parksdale CDP,"1,200","1,100",100,7.60%,0.019795,0.021606
Parkwood CDP,"1,000",900,100,9.10%,0.0158,0.020813
Yosemite Lakes CDP,"1,900","1,800",100,7.50%,0.031118,0.033499
